taxa_in_original_tree	species	total	rbcL	matK	rps16	ndhF
Abelia	Abelia chinensis	3	HQ680737	AY310461	NA	HQ693958
Abelia	Abelia floribunda	3	HQ680733	GU168641	NA	HQ693954
Abelia	Abelia spathulata	3	HQ680743	GU168646	NA	HQ693964
Alseuosmiaceae	Crispiloba disperma	3	X87382	GQ983650	NA	AJ238338
Alseuosmiaceae	Alseuosmia macrophylla	3	X87377	AJ429378	NA	AJ238334
Alseuosmiaceae	Wittsteinia vacciniacea	2	X87399	NA	NA	AJ238345
Aquifoliales	Helwingia japonica	4	X94941	AJ430195	AJ431089	AF130207
Aquifoliales	Ilex cornuta	4	AF471624	GQ997309	GQ997365	GQ997315
Aquifoliales	Cardiopteris quinqueloba	3	NA	AJ429310	AJ431021	AJ312963
Aralidium	Aralidium pinnatifidum	3	AF299087	NA	AJ431083	AJ429126
Argophyllaceae	NA	0	NA	NA	NA	NA
Boraginales	Cordia nevillii	3	HQ384923	NA	HQ385199	HQ384860
Boraginales	Cordia dentata	3	JQ590888	JQ587086	HQ286263	NA
Boraginales	Cordia sagotii	2	FJ037971	FJ514773	NA	NA
Bruniales	Brunia albiflora	3	AY490988	NA	AJ431072	AF060159
Bruniales	Berzelia lanuginosa	3	L14391	NA	GQ984001	AJ236241
Bruniales	Desfontainia spinosa	3	Z29670	NA	AJ431074	AJ011988
Cornales	Cornus nuttallii	4	AF006833	U96897	FJ541998	EU373590
Cornales	Camptotheca acuminata	4	JQ280850	JQ280882	EU734472	JF321071
Cornales	Nyssa sinensis	4	JF308651	JQ280856	EU734480	JF321073
Diabelia	NA	0	NA	NA	NA	NA
Diervilla	Diervilla rivularis	2	NA	AJ429392	AJ431105	NA
Diervilla	Diervilla sessilifolia	2	NA	AF446907	NA	AF060164
Dipelta	Dipelta yunnanensis	2	AF446940	AF446910	NA	NA
Dipelta	Dipelta floribunda	2	AJ420876	FJ745399	NA	NA
Escalloniales	Tribeles australis	4	AJ403010	AJ429369	AJ431080	AJ429123
Escalloniales	Escallonia rubra	4	AJ419692	AJ429365	AJ431076	AJ277383
Escalloniales	Polyosma cunninghamii	4	AF299091	AJ429368	AJ431079	AJ419702
Fouquieriaceae	Fouquieria splendens	2	NA	EU628509	NA	AJ236249
Fouquieriaceae	Fouquieria columnaris	2	NA	EU628508	NA	AF207961
Fouquieriaceae	Fouquieria diguetii	1	NA	AJ429285	NA	NA
Garryales	Garrya elliptica	3	NA	AJ429319	AJ431030	AF147714
Garryales	Aucuba japonica	3	NA	FN668800	AJ431029	AY725869
Garryales	Eucommia ulmoides	3	NA	JF953701	AJ431028	AJ429113
Gentianales	Pentagonia macrophylla	3	GQ981826	NA	FM204727	AJ236303
Gentianales	Posoqueria latifolia	3	GQ981837	NA	FM204728	AM949855
Gentianales	Sipanea hispida	3	EU145458	NA	EU145492	EU145414
Griseliniaceae	Griselinia lucida	3	L11225	U58628	NA	AF130205
Griseliniaceae	Griselinia littoralis	2	AF307916	AJ429372	NA	NA
Griseliniaceae	Griselinia racemosa	1	AF307915	NA	NA	NA
Heptacodium	Heptacodium miconioides	3	NA	GQ284983	GQ984004	AF283509
Kolkwitzia	Kolkwitzia amabilis	3	NA	AF446912	GQ983989	HQ693960
Lamiales	Stachytarpheta cayennensis	4	HM853918	JQ589468	AJ299259	HM216776
Lamiales	Lantana camara	4	HM853892	JQ589436	EU348856	HM216739
Lamiales	Verbena officinalis	4	HM853899	JN894308	AF225295	HM216789
Leycesteria	Leycesteria formosa	3	NA	HM850976	GQ984000	AF447022
Leycesteria	Leycesteria crocothyrsos	1	NA	FJ745393	NA	NA
Linnaea	Linnaea borealis	3	NA	JN966357	AJ431107	AF060166
Lonicera	Lonicera webbiana	2	JF942316	JF954403	NA	NA
Lonicera	Lonicera canadensis	2	HQ590165	HQ593349	NA	NA
Lonicera	Lonicera similis	2	HM228507	HM228463	NA	NA
Melanophylla	Melanophylla alnifolia	1	NA	NA	NA	AJ236244
Napoleonaeoideae	Napoleona vogelii	1	NA	NA	NA	DQ388164
Oncothecaceae,_Metteniusaceae,_Icacinaceae	Icacina senegalensis	4	AJ428897	AJ429313	AJ431024	AJ429111
Oncothecaceae,_Metteniusaceae,_Icacinaceae	Apodytes dimidiata	4	JF265292	AJ429311	AJ431022	AJ429109
Oncothecaceae,_Metteniusaceae,_Icacinaceae	Cassinopsis ilicifolia	4	AJ428896	AJ429312	AJ431023	AJ429110
Paracryphia	Paracryphia alticola	3	NA	AJ429367	AJ431078	AJ429121
Pennantiaceae	Pennantia corymbosa	3	AY188432	AY188404	NA	AJ312949
Pennantiaceae	Pennantia cunninghamii	3	AJ494843	AJ494845	NA	AJ312970
Pentaphragmataceae	NA	0	NA	NA	NA	NA
Phellinaceae	NA	0	NA	NA	NA	NA
Quintinia	Quintinia verdonii	3	NA	AJ429366	AJ431077	AJ238344
Rousseaceae	Carpodetus serratus	3	Y08461	AJ429383	NA	AJ238336
Rousseaceae	Abrophyllum ornans	3	X87375	GQ983653	NA	AJ238333
Rousseaceae	Roussea simplex	3	AF084477	AJ429389	NA	AJ277384
Sambucus	Sambucus adnata	2	JF944173	HQ714358	NA	NA
Sambucus	Sambucus chinensis	2	JF944185	HQ714366	NA	NA
Sambucus	Sambucus cerulea	2	AJ420867	HQ714363	NA	NA
Scytopetaloideae	Oubanguia alata	1	NA	NA	NA	DQ388165
Solanales	Solanum elaeagnifolium	4	HM016257	EU983576	HM016404	AF224067
Solanales	Solanum melongena	3	HM016272	NA	HM016390	AF224069
Solanales	Lycianthes heteroclita	3	AF397091	JQ589231	NA	U72756
Sphenostemon	Sphenostemon lobosporus	3	NA	GQ983660	GQ983981	GQ983668
Symphoricarpos	Symphoricarpos palmeri	1	NA	GQ284971	NA	NA
Symphoricarpos	Symphoricarpos microphyllus	1	NA	GQ284956	NA	NA
Symphoricarpos	Symphoricarpos mollis	1	NA	GQ284959	NA	NA
Torricellia	Torricellia tiliifolia	3	AF299089	NA	AJ431087	AJ429127
Vesalea	NA	0	NA	NA	NA	NA
Viburnum	Viburnum acutifolium	2	JQ805397	JQ805237	NA	NA
Viburnum	Viburnum treleasei	2	HM850455	HM850978	NA	NA
Viburnum	Viburnum ayavacense	2	JQ805399	JQ805238	NA	NA
Weigela	Weigela florida	2	NA	GU168657	NA	AF367421
Weigela	Weigela hortensis	2	NA	AF446908	NA	AF447028
Weigela	Weigela praecox	1	NA	NA	NA	AF161293
Zabelia	Zabelia triflora	3	AF206727	HQ693923	NA	HQ693946
Zabelia	Zabelia tyaihyoni	3	GQ983786	HQ693922	NA	HQ693945
Zabelia	Zabelia corymbosa	3	HQ680727	HQ693925	NA	HQ693948
balsaminoid_Ericales	Ruyschia phylladenia	2	AF303128	NA	NA	AF303490
balsaminoid_Ericales	Schwartzia costaricensis	2	JQ594913	NA	NA	AF303493
balsaminoid_Ericales	Souroubea exauriculata	2	AF303125	NA	NA	AF303494
early_diverging_Apiaceae	Anginon rugosum	2	U50222	NA	AF110573	NA
early_diverging_Apiaceae	Mackinlaya macrosciadia	2	U50247	U58613	NA	NA
early_diverging_Apiaceae	Centella erecta	2	U50233	U58599	NA	NA
early_diverging_Asteraceae	Schlechtendalia luzulifolia	3	AY874431	NA	EU547616	L39395
early_diverging_Asteraceae	Doniophyton anomalum	3	EU841123	NA	EU547610	L39396
early_diverging_Asteraceae	Dasyphyllum argenteum	2	AY874428	NA	NA	L39392
ericalean_lineage	Kalmia polifolia	3	JN965615	JN966342	NA	GU176733
ericalean_lineage	Erica carnea	3	NA	AY517908	AJ430997	AJ429105
ericalean_lineage	Kalmia procumbens	3	JN965616	U61352	NA	JX890298
rest_Ericales	Dionysia involucrata	2	AF394991	NA	AY680750	NA
rest_Ericales	Dionysia lurorum	2	AY753637	NA	AY680761	NA
rest_Ericales	Dionysia leucotricha	2	AY753636	NA	AY680760	NA
rest_of_Apiales	Eleutherococcus sieboldianus	4	GU054516	AB571644	GU054991	GU054706
rest_of_Apiales	Dendropanax dentiger	4	GU054599	HQ427394	GU055074	GU054713
rest_of_Apiales	Sciadodendron excelsum	4	GU054574	JQ586681	GU055049	GU054764
rest_of_Lecythidaceae	Couratari calycina	2	NA	JQ626524	NA	DQ388192
rest_of_Lecythidaceae	Lecythis chartacea	2	NA	JQ626570	NA	DQ388209
rest_of_Lecythidaceae	Lecythis holcogyne	2	NA	JQ626539	NA	DQ388236
