taxon	ndhF	GBSSI	rpoB	unknown	unknown.1	matK	
Fouquieria purpusii		FJ607825	FJ607847	AF084356	AF084357		
Fouquieria shrevei		FJ607826	FJ607862	AF084360	AF084361		
Fouquieria burragei		FJ607783	FJ607864	AF084332	AF084341		
Fouquieria formosa		FJ607812	FJ607861	AF084346	AF084347		
Fouquieria ochoterenae		FJ607824	FJ607858	AF084354	AF084355		
Fouquieria leonilae		FJ607819	FJ607853	AF084336	AF084337		
Fouquieria macdougalii		FJ607821	FJ607860	AF084352	AF084353		
Fouquieria diguetii		FJ607800	FJ607850	AF084344	AF084329	AJ429285	
Fouquieria fasciculata	AY725874	FJ607810	FJ607846	AF084330	AF084349		
Fouquieria splendens	AJ236249	FJ607831	FJ607851	AF084358	AF084359	EU628509	
Fouquieria columnaris	AF207961	FJ607797	FJ607857	AF084334	AF084335	EU628508	
