taxon	rps16	18S-ribosomal-RNA	rpl16	contains-tRNA-Asp-(trnD),-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-trnE-trnT-intergenic-spacer,-and-tRNA-Thr-(trnT)	5.8S-ribosomal-RNA	rps16.1	
Anginon intermedium	AY838395				DQ368817		
Anginon fruticosum	AY838394				DQ368816		
Anginon tenuior	AY838403				DQ368826		
Anginon jaarsveldii	AY838396				DQ368818		
Anginon pumilum	AY838398				DQ368821	AY838399	
Anginon swellendamense	AY838401				DQ368824	AY838402	
Anginon verticillatum	AY838404				DQ368828	AF110574	
Anginon paniculatum	AY838397	AF467922	GQ243908	GQ244179	DQ368819		
Anginon difforme	AY838391	AF459742	GQ243907	GQ244178	DQ368814	AY838392	
Anginon rugosum	AY838400	DQ368823	GQ243909	GQ244180	DQ368822	AF110573	
